"회사명 : (주)에바스코스메틱"
"품목구분	","BOM버전	","생산품목명	","소모품목코드	","소모품목명	","품목구분	","소요량	","생산품목코드	","입고단가	","구매처명	","구매처코드	","적요	","규격명	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 쥬이시 그레이프프룻	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL002	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","PAOBL0030	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","[제품]	","1,000.000000","AOBL003	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL003	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL003	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 알로에베라 바디로션	","PAOBL0040	","샤샤 알로에베라 바디로션	","[제품]	","1,000.000000","AOBL004	","","	","	","	","1500ml	",""
"[부재료]	","기본	","샤샤 알로에베라 바디로션	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL004	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 알로에베라 바디로션	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL004	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 세라 데오 바디로션	","PAOBL0050	","샤샤 세라 데오 바디로션	","[제품]	","1,000.000000","AOBL005	","","	","	","	","	",""
"[부재료]	","기본	","샤샤 세라 데오 바디로션	","SXA-9400	","샤샤아르간샴푸린스박스	","[제품]	","84.000000","AOBL005	","730.000000","(주)유진포장	","1338120794	","	","400*300*300	",""
"[부재료]	","기본	","샤샤 세라 데오 바디로션	","SXC-0042	","(패드)샤샤아르간샴푸린스	","[제품]	","84.000000","AOBL005	","85.000000","(주)유진포장	","1338120794	","	","	",""
"[반제품]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","PAOBLM030	","샤샤 밀크앤허니 바디로션- 소프트 머스크(500ml)	","[제품]	","1,000.000000","AOBLM03	","","	","	","	","500ml	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","SXA-7066	","(대박스)샤샤 밀크 앤 허니 핸드크림- 3가지	","[제품]	","34.000000","AOBLM03	","936.000000","수영페이퍼 유한회사	","6888702454	","	","500ml, 30개입, 440*370*215	",""
"[부재료]	","기본	","샤샤 밀크앤허니 바디로션- 소프트 머스크	","SXC-0055	","(패드)샤샤 밀크 앤 허니 핸드크림- 3가지	","[제품]	","34.000000","AOBLM03	","104.000000","수영페이퍼 유한회사	","6888702454	","	","500ml, 30개입 (425*355*0)	",""
"[반제품]	","기본	","샤샤 녹두 시카 클렌징 폼	","PAOFC0010	","샤샤 녹두 시카 클렌징 폼	","[제품]	","1,000.000000","AOFC001	","","	","	","	","220 ml	",""
"[부재료]	","기본	","샤샤 녹두 시카 클렌징 폼	","SXA-1354	","(대박스)샤샤_녹두 시카 클렌징 폼 220ml	","[제품]	","17.000000","AOFC001	","788.000000","명진포장(주)	","1348684568	","	","485*365*230, 60개입	",""
